Match Date,Home Team,Away Team,Score,Points Home Team,Points Away Team,Total Points,Attendance,Referee,Referee Nationality,Kickoff Time
25 October 2003,Australia ,Namibia,142–0,142,0,142,"28,196",Joël Jutge,France,
26 October 2003,Argentina ,Ireland,15–16,15,16,31,"30,203",André Watson,South Africa,
30 October 2003,Namibia ,Romania,7–37,7,37,44,"15,457",Peter Marshall,Australia,
1 November 2003,Australia ,Ireland,17–16,17,16,33,"54,206",Paddy O,New Zealand,
11 October 2003,France ,Fiji,61–18,61,18,79,"46,795",Alain Rolland,Ireland,
12 October 2003,Scotland ,Japan,32–11,32,11,43,"19,170",Stuart Dickinson,Australia,
15 October 2003,Fiji ,United States,19–18,19,18,37,"30,990",Joël Jutge,France,
18 October 2003,France ,Japan,51–29,51,29,80,"21,309",Alan Lewis,Ireland,
20 October 2003,Scotland ,United States,39–15,39,15,54,"46,796",Jonathan Kaplan,South Africa,
23 October 2003,Fiji ,Japan,41–13,41,13,54,"17,269",Nigel Williams,Wales,
25 October 2003,France ,Scotland,51–9,51,9,60,"78,974",David McHugh,Ireland,
27 October 2003,Japan ,United States,26–39,26,39,65,"19,653",Steve Walsh,New Zealand,
31 October 2003,France ,United States,41–14,41,14,55,"17,833",Paul Honiss,New Zealand,
1 November 2003,Scotland ,Fiji,22–20,22,20,42,"37,137",Tony Spreadbury,England,
11 October 2003,South Africa ,Uruguay,72–6,72,6,78,"16,906",Paddy O,New Zealand,
12 October 2003,England ,Georgia,84–6,84,6,90,"25,501",Pablo Deluca,Argentina,
15 October 2003,Samoa ,Uruguay,60–13,60,13,73,"22,020",David McHugh,Ireland,
18 October 2003,South Africa ,England,6–25,6,25,31,"38,834",Peter Marshall,Australia,
19 October 2003,Georgia ,Samoa,9–46,9,46,55,"21,507",Alain Rolland,Ireland,
24 October 2003,South Africa ,Georgia,46–19,46,19,65,"34,308",Stuart Dickinson,Australia,
26 October 2003,England ,Samoa,35–22,35,22,57,"50,647",Jonathan Kaplan,South Africa,
28 October 2003,Georgia ,Uruguay,12–24,12,24,36,"28,576",Kelvin Deaker,New Zealand,
1 November 2003,South Africa ,Samoa,60–10,60,10,70,"48,496",Chris White,England,
2 November 2003,England ,Uruguay,111–13,111,13,124,"46,233",Nigel Williams,Wales,
11 October 2003,New Zealand ,Italy,70–7,70,7,77,"41,715",Andrew Cole,Australia,
12 October 2003,Wales ,Canada,41–10,41,10,51,"24,874",Chris White,England,
15 October 2003,Italy ,Tonga,36–12,36,12,48,"18,967",Steve Walsh,New Zealand,
17 October 2003,New Zealand ,Canada,68–6,68,6,74,"38,899",Tony Spreadbury,England,
19 October 2003,Wales ,Tonga,27–20,27,20,47,"19,806",Paul Honiss,New Zealand,
21 October 2003,Italy ,Canada,19–14,19,14,33,"20,515",Paddy O,New Zealand,
24 October 2003,New Zealand ,Tonga,91–7,91,7,98,"47,588",Pablo Deluca,Argentina,
25 October 2003,Italy ,Wales,15–27,15,27,42,"22,641",Andrew Cole,Australia,
29 October 2003,Canada ,Tonga,24–7,24,7,31,"15,630",Alain Rolland,Ireland,
2 November 2003,New Zealand ,Wales,53–37,53,37,90,"80,012",André Watson,South Africa,
8 November 2003,New Zealand ,South Africa,29–9,29,9,38,"40,734",Tony Spreadbury,England,
8 November 2003,Australia ,Scotland,33–16,33,16,49,"45,412",Steve Walsh,New Zealand,
9 November 2003,France ,Ireland,43–21,43,21,64,"33,134",Jonathan Kaplan,South Africa,
9 November 2003,England ,Wales,28–17,28,17,45,"45,252",Alain Rolland,Ireland,
15 November 2003,New Zealand ,Australia,10–22,10,22,32,"82,444",Chris White,England,
16 November 2003,France ,England,7–24,7,24,31,"82,346",Paddy O,New Zealand,
20 November 2003,New Zealand ,France,40–13,40,13,53,"62,712",Chris White,England,
22 November 2003,Australia ,England,17–20,17,20,37,"82,957",André Watson,South Africa,
8 September 2007,England ,United States,   28–10   ,28,10,38,36755,Jonathan Kaplan,South Africa,18:00
9 September 2007,South Africa ,Samoa,   59–7   ,59,7,66,46575,Paul Honiss,New Zealand,16:00
12 September 2007,United States ,Tonga,   15–25   ,15,25,40,25000,Stuart Dickinson,Australia,14:00
14 September 2007,England ,South Africa,   0–36   ,0,36,36,77523,Joël Jutge,France,21:00
16 September 2007,Samoa ,Tonga,   15–19   ,15,19,34,24128,Jonathan Kaplan,South Africa,16:00
22 September 2007,South Africa ,Tonga,   30–25   ,30,25,55,40069,Wayne Barnes,England,14:00
22 September 2007,England ,Samoa,   44–22   ,44,22,66,37022,Alan Lewis,Ireland,16:00
26 September 2007,Samoa ,United States,   25–21   ,25,21,46,34124,Wayne Barnes,England,20:00
28 September 2007,England ,Tonga,   36–20   ,36,20,56,45085,Alain Rolland,Ireland,21:00
30 September 2007,South Africa ,United States,   64–15   ,64,15,79,28750,Tony Spreadbury,England,20:00
8 September 2007,Australia ,Japan,   91–3   ,91,3,94,40043,Alan Lewis,Ireland,15:45
9 September 2007,Wales ,Canada,   42–17   ,42,17,59,37500,Alain Rolland,Ireland,14:00
12 September 2007,Japan ,Fiji,   31–35   ,31,35,66,34500,Marius Jonker,South Africa,18:00
15 September 2007,Wales ,Australia,   20–32   ,20,32,52,71022,Steve Walsh,New Zealand,14:00
16 September 2007,Fiji ,Canada,   29–16   ,29,16,45,45000,Tony Spreadbury,England,14:00
20 September 2007,Wales ,Japan,   72–18   ,72,18,90,35245,Joël Jutge,France,21:00
23 September 2007,Australia ,Fiji,   55–12   ,55,12,67,32231,Nigel Owens,Wales,14:30
25 September 2007,Canada ,Japan,   12–12   ,12,12,24,33810,Jonathan Kaplan,South Africa,18:00
29 September 2007,Australia ,Canada,   37–6   ,37,6,43,35200,Chris White,England,15:00
29 September 2007,Wales ,Fiji,   34–38   ,34,38,72,37080,Stuart Dickinson,Australia,17:00
8 September 2007,New Zealand ,Italy,   76–14   ,76,14,90,58612,Wayne Barnes,England,13:45
9 September 2007,Scotland ,Portugal,   56–10   ,56,10,66,34162,Steve Walsh,New Zealand,18:00
12 September 2007,Italy ,Romania,   24–18   ,24,18,42,44241,Tony Spreadbury,England,20:00
15 September 2007,New Zealand ,Portugal,   108–13   ,108,13,121,40729,Chris White,England,13:00
18 September 2007,Scotland ,Romania,   42–0   ,42,0,42,31222,Nigel Owens,Wales,21:00
19 September 2007,Italy ,Portugal,   31–5   ,31,5,36,45476,Marius Jonker,South Africa,20:00
23 September 2007,Scotland ,New Zealand,   0–40   ,0,40,40,64558,Marius Jonker,South Africa,17:00
25 September 2007,Romania ,Portugal,   14–10   ,14,10,24,35526,Paul Honiss,New Zealand,20:00
29 September 2007,New Zealand ,Romania,   85–8   ,85,8,93,35608,Joël Jutge,France,13:00
29 September 2007,Scotland ,Italy,   18–16   ,18,16,34,34701,Jonathan Kaplan,South Africa,21:00
7 September 2007,France ,Argentina,   12–17   ,12,17,29,79312,Tony Spreadbury,England,21:00
9 September 2007,Ireland ,Namibia,   32–17   ,32,17,49,33694,Joël Jutge,France,20:00
11 September 2007,Argentina ,Georgia,   33–3   ,33,3,36,40240,Nigel Owens,Wales,20:00
15 September 2007,Ireland ,Georgia,   14–10   ,14,10,24,33807,Wayne Barnes,England,21:00
16 September 2007,France ,Namibia,   87–10   ,87,10,97,35339,Alain Rolland,Ireland,21:00
21 September 2007,France ,Ireland,   25–3   ,25,3,28,80267,Chris White,England,21:00
22 September 2007,Argentina ,Namibia,   63–3   ,63,3,66,55067,Stuart Dickinson,Australia,21:00
26 September 2007,Georgia ,Namibia,   30–0   ,30,0,30,32549,Steve Walsh,New Zealand,18:00
